model_name	dataset_name	--learning_rate	--seed	set_type	result_name	result
bert-large-uncased	SST-2	4e-05	100	dev	acc	0.9243119266055045
bert-large-uncased	SST-2	4e-05	120	dev	acc	0.9231651376146789
bert-large-uncased	SST-2	4e-05	130	dev	acc	0.9197247706422018
bert-large-uncased	SST-2	4e-05	101	dev	acc	0.5091743119266054
bert-large-uncased	SST-2	4e-05	110	dev	acc	0.9139908256880734
bert-large-uncased	SST-2	4e-05	131	dev	acc	0.9334862385321101
bert-large-uncased	SST-2	4e-05	121	dev	acc	0.9323394495412844
bert-large-uncased	SST-2	4e-05	102	dev	acc	0.9311926605504587
bert-large-uncased	SST-2	4e-05	111	dev	acc	0.9277522935779816
bert-large-uncased	SST-2	4e-05	132	dev	acc	0.9254587155963303
bert-large-uncased	SST-2	4e-05	122	dev	acc	0.926605504587156
bert-large-uncased	SST-2	4e-05	103	dev	acc	0.9334862385321101
bert-large-uncased	SST-2	4e-05	112	dev	acc	0.9208715596330275
bert-large-uncased	SST-2	4e-05	133	dev	acc	0.9231651376146789
bert-large-uncased	SST-2	4e-05	123	dev	acc	0.9243119266055045
bert-large-uncased	SST-2	4e-05	104	dev	acc	0.9220183486238532
bert-large-uncased	SST-2	4e-05	113	dev	acc	0.9243119266055045
bert-large-uncased	SST-2	4e-05	134	dev	acc	0.9208715596330275
bert-large-uncased	SST-2	4e-05	124	dev	acc	0.9185779816513762
bert-large-uncased	SST-2	4e-05	105	dev	acc	0.9288990825688074
bert-large-uncased	SST-2	4e-05	114	dev	acc	0.9311926605504587
bert-large-uncased	SST-2	4e-05	106	dev	acc	0.9323394495412844
bert-large-uncased	SST-2	4e-05	135	dev	acc	0.930045871559633
bert-large-uncased	SST-2	4e-05	115	dev	acc	0.9162844036697247
bert-large-uncased	SST-2	4e-05	125	dev	acc	0.9243119266055045
bert-large-uncased	SST-2	4e-05	107	dev	acc	0.930045871559633
bert-large-uncased	SST-2	4e-05	116	dev	acc	0.9208715596330275
bert-large-uncased	SST-2	4e-05	136	dev	acc	0.5091743119266054
bert-large-uncased	SST-2	4e-05	126	dev	acc	0.9208715596330275
bert-large-uncased	SST-2	4e-05	108	dev	acc	0.9162844036697247
bert-large-uncased	SST-2	4e-05	117	dev	acc	0.9139908256880734
bert-large-uncased	SST-2	4e-05	127	dev	acc	0.9174311926605505
bert-large-uncased	SST-2	4e-05	137	dev	acc	0.9220183486238532
bert-large-uncased	SST-2	4e-05	109	dev	acc	0.9277522935779816
bert-large-uncased	SST-2	4e-05	118	dev	acc	0.9288990825688074
bert-large-uncased	SST-2	4e-05	138	dev	acc	0.9254587155963303
bert-large-uncased	SST-2	4e-05	128	dev	acc	0.9220183486238532
bert-large-uncased	SST-2	4e-05	119	dev	acc	0.930045871559633
bert-large-uncased	SST-2	4e-05	140	dev	acc	0.5091743119266054
bert-large-uncased	SST-2	4e-05	139	dev	acc	0.9380733944954128
bert-large-uncased	SST-2	4e-05	129	dev	acc	0.9323394495412844
bert-large-uncased	SST-2	4e-05	141	dev	acc	0.9288990825688074
bert-large-uncased	SST-2	4e-05	142	dev	acc	0.9277522935779816
bert-large-uncased	SST-2	4e-05	160	dev	acc	0.5091743119266054
bert-large-uncased	SST-2	4e-05	144	dev	acc	0.9254587155963303
bert-large-uncased	SST-2	4e-05	161	dev	acc	0.9311926605504587
bert-large-uncased	SST-2	4e-05	145	dev	acc	0.9243119266055045
bert-large-uncased	SST-2	4e-05	162	dev	acc	0.926605504587156
bert-large-uncased	SST-2	4e-05	146	dev	acc	0.9277522935779816
bert-large-uncased	SST-2	4e-05	163	dev	acc	0.9288990825688074
bert-large-uncased	SST-2	4e-05	147	dev	acc	0.9254587155963303
bert-large-uncased	SST-2	4e-05	164	dev	acc	0.9288990825688074
bert-large-uncased	SST-2	4e-05	148	dev	acc	0.9277522935779816
bert-large-uncased	SST-2	4e-05	165	dev	acc	0.9369266055045872
bert-large-uncased	SST-2	4e-05	149	dev	acc	0.9243119266055045
bert-large-uncased	SST-2	4e-05	166	dev	acc	0.9323394495412844
bert-large-uncased	SST-2	4e-05	150	dev	acc	0.930045871559633
bert-large-uncased	SST-2	4e-05	167	dev	acc	0.9254587155963303
bert-large-uncased	SST-2	4e-05	151	dev	acc	0.9243119266055045
bert-large-uncased	SST-2	4e-05	168	dev	acc	0.9220183486238532
bert-large-uncased	SST-2	4e-05	152	dev	acc	0.9334862385321101
bert-large-uncased	SST-2	4e-05	169	dev	acc	0.930045871559633
bert-large-uncased	SST-2	4e-05	153	dev	acc	0.926605504587156
bert-large-uncased	SST-2	4e-05	170	dev	acc	0.9208715596330275
bert-large-uncased	SST-2	4e-05	154	dev	acc	0.9334862385321101
bert-large-uncased	SST-2	4e-05	171	dev	acc	0.9231651376146789
bert-large-uncased	SST-2	4e-05	155	dev	acc	0.9346330275229358
bert-large-uncased	SST-2	4e-05	172	dev	acc	0.9231651376146789
bert-large-uncased	SST-2	4e-05	156	dev	acc	0.926605504587156
bert-large-uncased	SST-2	4e-05	173	dev	acc	0.8795871559633027
bert-large-uncased	SST-2	4e-05	157	dev	acc	0.9323394495412844
bert-large-uncased	SST-2	4e-05	174	dev	acc	0.9208715596330275
bert-large-uncased	SST-2	4e-05	158	dev	acc	0.930045871559633
bert-large-uncased	SST-2	4e-05	159	dev	acc	0.9288990825688074
